Rk,Unnamed: 1,Age,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19,OBPM,DBPM,BPM,VORP,Year,Team,Percent_VORP,TOV%,USG%,Unnamed: 16,Unnamed: 21,3PAr,Unnamed: 17,Unnamed: 22
7,Danny Young,27,21,294,9.7,0.513,0.375,4.0,7.5,5.6,15.4,2.3,0.4,,0.1,0.3,0.4,0.065,,-1.2,1.5,0.2,0.2,1990,POR,0.04761904761904761,16.9,14.0,,,0.40299999999999997,,
10,Mike Miller,32,17,232,12.1,0.644,0.0,1.6,15.7,8.8,10.0,1.9,0.7,,0.4,0.3,0.7,0.146,,1.4,1.4,2.8,0.3,2013,MIA,0.046875,10.0,10.4,,,0.8,,
6,Norris Cole,24,21,418,12.4,0.584,0.18600000000000003,1.8,9.6,5.8,16.1,2.0,0.4,,0.5,0.4,0.9,0.10300000000000001,,-0.2,1.1,0.9,0.3,2013,MIA,0.046875,17.2,15.5,,,0.314,,
11,James Jones,33,15,126,16.2,0.6409999999999999,0.075,3.3,8.2,5.8,6.7,1.3,1.5,,0.4,0.1,0.4,0.16699999999999998,,4.4,-0.5,3.9,0.2,2014,MIA,0.04651162790697675,0.0,16.7,,,0.8,,
5,Zydrunas Ilgauskas,33,14,407,14.5,0.48200000000000004,0.239,8.8,25.3,17.3,7.4,0.7,2.8,,0.4,0.7,1.1,0.131,,-0.5,0.4,-0.1,0.2,2009,CLE,0.04651162790697675,5.6,19.2,,,0.094,,
6,Joe Smith,33,13,218,14.1,0.574,0.58,6.1,21.9,14.2,2.2,1.5,2.8,,0.3,0.4,0.7,0.16399999999999998,,-1.0,1.9,0.9,0.2,2009,CLE,0.04651162790697675,10.0,15.4,,,0.1,,
6,Eduardo NÃ¡jera,26,19,394,12.5,0.541,0.5579999999999999,9.9,10.7,10.3,5.4,1.8,0.8,,0.6,0.1,0.7,0.08900000000000001,,-0.3,-0.1,-0.4,0.2,2003,DAL,0.04651162790697674,13.0,14.1,,,0.0,,
9,Walt Williams,32,15,227,12.5,0.505,0.086,5.8,15.1,10.4,10.1,1.1,4.1,,0.0,0.1,0.1,0.022000000000000002,,0.5,0.9,1.3,0.2,2003,DAL,0.04651162790697674,16.8,20.0,,,0.506,,
5,Markieff Morris,27,13,373,12.3,0.495,0.214,5.6,20.2,12.9,8.8,1.6,4.1,,-0.1,0.5,0.4,0.052000000000000005,,-1.4,0.2,-1.2,0.1,2017,WAS,0.04545454545454546,11.7,20.8,,,0.262,,
6,Royce O'Neale,24,11,259,9.5,0.606,0.33899999999999997,1.2,14.7,7.9,8.5,1.9,1.4,,0.0,0.3,0.4,0.069,,-2.3,2.5,0.2,0.1,2018,UTA,0.04545454545454546,19.9,13.7,,,0.5,,
4,Jae Crowder,27,11,323,8.4,0.457,0.259,1.3,17.5,9.3,8.7,2.3,0.5,,-0.3,0.4,0.1,0.02,,-2.3,1.5,-0.7,0.1,2018,UTA,0.04545454545454546,10.4,18.3,,,0.611,,
6,Steve Kerr,29,10,193,9.8,0.604,0.125,0.7,3.1,1.9,11.7,0.3,0.0,,0.4,0.0,0.5,0.113,,0.4,-0.5,-0.2,0.1,1995,CHI,0.04545454545454546,0.0,10.1,,,0.475,,
4,Brian Shaw,24,11,316,12.5,0.534,0.3,3.0,10.3,6.9,23.0,1.6,0.2,,0.1,0.2,0.3,0.040999999999999995,,-0.7,-0.3,-1.0,0.1,1991,BOS,0.04545454545454546,18.1,19.1,,,0.03,,
6,Charles Smith,29,11,303,13.4,0.55,0.316,9.1,9.4,9.2,8.2,2.4,4.8,,-0.1,0.7,0.5,0.085,,-2.0,1.8,-0.3,0.1,1995,NYK,0.04545454545454546,18.2,21.5,,,0.021,,
4,Eric Bledsoe,29,15,423,14.2,0.494,0.276,4.9,8.2,6.6,23.7,1.8,1.3,,0.0,0.7,0.7,0.08,,-0.2,0.0,-0.2,0.2,2019,MIL,0.04545454545454546,13.7,24.4,,,0.389,,
4,Marcin Gortat,32,13,409,14.0,0.52,0.19399999999999998,14.6,25.8,20.2,8.2,0.6,4.4,,0.4,0.5,0.9,0.107,,-0.6,-0.5,-1.1,0.1,2017,WAS,0.04545454545454546,14.4,12.4,,,0.0,,
6,Bojan BogdanoviÄ‡,27,13,264,13.6,0.569,0.368,4.4,20.2,12.3,4.9,1.1,0.3,,0.4,0.2,0.6,0.113,,1.3,-1.3,0.0,0.1,2017,WAS,0.04545454545454546,7.3,17.8,,,0.517,,
7,Drew Gooden,24,13,282,16.4,0.5760000000000001,0.212,13.2,28.1,20.7,5.4,0.6,0.6,,0.4,0.4,0.8,0.13,,0.1,-0.4,-0.3,0.1,2006,CLE,0.045454545454545456,16.2,18.8,,,0.0,,
6,Mike Sanders,31,17,418,10.3,0.523,0.183,6.0,9.3,7.7,13.3,1.9,1.7,,0.1,0.5,0.6,0.064,,-1.7,1.2,-0.5,0.2,1992,CLE,0.045454545454545456,15.6,16.0,,,0.026000000000000002,,
8,Malik Allen,25,10,138,16.1,0.47200000000000003,0.184,10.0,15.0,12.5,6.1,0.8,5.6,,0.2,0.2,0.4,0.131,,-0.8,1.0,0.2,0.1,2004,MIA,0.045454545454545456,7.0,19.8,,,0.0,,
